
___________________________________________________________________

GenoDive 3.01, 2021-11-24 11:02:23 +0000
Amova: Analysis of Molecular Variance (Excoffier et al., 1995)
File: TrkNbr-1524n1282n1083_AllPops_PGDSpider_p14_r080_LDnHWEx__genepopRF.txt
178 of 178 individuals included, 8480 of 8480 loci included
Used an Infinite Allele Model, so the reported statistics are equivalent to Fst
Significance was tested using 999 permutations


– AMOVA summary:

Source of Variation	Nested in	%var	F-stat	F-value	Std.Dev.	c.i.2.5%	c.i.97.5%	P-value	F'-value
Within Individual 	--	0.782	F_it	0.218	0.003	0.211	0.225	--	--
Among Individual 	Population 	0.063	F_is	0.074	0.004	0.065	0.083	0.001	--
Among Population 	--	0.155	F_st	0.155	0.002	0.151	0.159	0.001	0.159

Standard deviations of F-statistics were obtained through jackknifing over loci.
95% confidence intervals of F-statistics were obtained through bootstrapping over loci.


– AMOVA table per locus:

Locus	Source of Variation	Nested in	SSD	d.f.	MS	Var-comp	%Var	F-stat	F-value	P-value	F(max)	F'-value

507629_14	Within Individual   	--	1.000	139	0.007	0.007	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	124	0.006	-0.001	-0.080	F_is	-0.087	1.000	--	--
	Among Population   	--	0.236	14	0.017	0.001	0.081	F_st	0.081	0.014	0.987	0.082

507728_8	Within Individual   	--	0.500	130	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.000	116	0.017	0.007	0.580	F_is	0.635	0.173	--	--
	Among Population   	--	0.465	13	0.036	0.001	0.087	F_st	0.087	0.027	0.979	0.088

507732_15	Within Individual   	--	0.500	138	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	123	0.004	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.001	F_st	0.001	0.424	0.993	0.001

507758_15	Within Individual   	--	4.000	128	0.031	0.031	0.679	F_it	0.321	--	--	--
	Among Individual   	Population 	3.050	114	0.027	-0.002	-0.049	F_is	-0.078	0.840	--	--
	Among Population   	--	4.388	13	0.338	0.017	0.370	F_st	0.370	0.001	0.942	0.392

507793_36	Within Individual   	--	1.000	132	0.008	0.008	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	118	0.006	-0.001	-0.080	F_is	-0.088	1.000	--	--
	Among Population   	--	0.235	13	0.018	0.001	0.082	F_st	0.082	0.007	0.986	0.083

507810_44	Within Individual   	--	6.500	128	0.051	0.051	0.910	F_it	0.090	--	--	--
	Among Individual   	Population 	5.506	114	0.048	-0.001	-0.022	F_is	-0.025	0.715	--	--
	Among Population   	--	2.116	13	0.163	0.006	0.112	F_st	0.112	0.001	0.901	0.125

507837_27	Within Individual   	--	0.000	132	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.714	118	0.015	0.007	0.956	F_is	1.000	0.075	--	--
	Among Population   	--	0.271	13	0.021	0.000	0.044	F_st	0.044	0.064	0.985	0.045

507876_22	Within Individual   	--	0.500	143	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	127	0.003	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.008	F_st	0.008	0.321	0.993	0.008

507879_6	Within Individual   	--	3.000	135	0.022	0.022	0.604	F_it	0.396	--	--	--
	Among Individual   	Population 	2.450	120	0.020	-0.001	-0.025	F_is	-0.042	0.811	--	--
	Among Population   	--	4.180	14	0.299	0.015	0.420	F_st	0.420	0.001	0.957	0.439

507882_35	Within Individual   	--	0.500	123	0.004	0.004	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.450	109	0.004	0.000	0.008	F_is	0.008	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.008	F_st	-0.008	1.000	0.992	-0.008

507890_6	Within Individual   	--	0.500	145	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	129	0.003	-0.000	-0.000	F_is	-0.000	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.000	F_st	0.000	0.635	0.993	0.000

507972_8	Within Individual   	--	0.500	142	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	127	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	14	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.993	-0.003

507977_66	Within Individual   	--	1.500	137	0.011	0.011	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.050	122	0.009	-0.001	-0.107	F_is	-0.120	1.000	--	--
	Among Population   	--	0.417	14	0.030	0.001	0.106	F_st	0.106	0.008	0.980	0.108

507983_6	Within Individual   	--	0.500	150	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	134	0.003	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.993	-0.004

507992_61	Within Individual   	--	3.000	142	0.021	0.021	0.612	F_it	0.388	--	--	--
	Among Individual   	Population 	4.328	126	0.034	0.007	0.191	F_is	0.238	0.276	--	--
	Among Population   	--	2.320	15	0.155	0.007	0.196	F_st	0.196	0.001	0.945	0.208

508026_41	Within Individual   	--	0.500	146	0.003	0.003	0.334	F_it	0.666	--	--	--
	Among Individual   	Population 	2.050	130	0.016	0.006	0.601	F_is	0.643	0.154	--	--
	Among Population   	--	0.419	15	0.028	0.001	0.065	F_st	0.065	0.060	0.981	0.066

508089_7	Within Individual   	--	0.500	130	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	116	0.004	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.005	F_st	-0.005	1.000	0.992	-0.005

508093_19	Within Individual   	--	0.500	128	0.004	0.004	0.334	F_it	0.666	--	--	--
	Among Individual   	Population 	2.050	114	0.018	0.007	0.601	F_is	0.643	0.174	--	--
	Among Population   	--	0.415	13	0.032	0.001	0.065	F_st	0.065	0.064	0.978	0.067

508099_23	Within Individual   	--	1.000	132	0.008	0.008	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	118	0.007	-0.000	-0.065	F_is	-0.069	1.000	--	--
	Among Population   	--	0.207	13	0.016	0.000	0.065	F_st	0.065	0.021	0.986	0.066

508117_6	Within Individual   	--	0.500	154	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	138	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.004	F_st	0.004	0.275	0.994	0.004

508126_55	Within Individual   	--	1.500	144	0.010	0.010	0.606	F_it	0.394	--	--	--
	Among Individual   	Population 	2.850	129	0.022	0.006	0.339	F_is	0.359	0.192	--	--
	Among Population   	--	0.563	14	0.040	0.001	0.055	F_st	0.055	0.031	0.967	0.057

508132_21	Within Individual   	--	7.500	128	0.059	0.059	0.845	F_it	0.155	--	--	--
	Among Individual   	Population 	7.882	114	0.069	0.005	0.076	F_is	0.083	0.417	--	--
	Among Population   	--	2.208	13	0.170	0.006	0.079	F_st	0.079	0.008	0.872	0.091

508173_45	Within Individual   	--	0.500	155	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	138	0.003	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	16	0.004	0.000	0.009	F_st	0.009	0.207	0.994	0.009

508190_41	Within Individual   	--	0.500	134	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	120	0.004	0.000	0.003	F_is	0.002	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.993	-0.003

508191_30	Within Individual   	--	0.500	145	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	129	0.003	-0.000	-0.000	F_is	-0.000	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.000	F_st	0.000	0.588	0.993	0.000

508204_29	Within Individual   	--	3.500	125	0.028	0.028	0.793	F_it	0.207	--	--	--
	Among Individual   	Population 	3.244	111	0.029	0.001	0.017	F_is	0.021	0.729	--	--
	Among Population   	--	1.932	13	0.149	0.007	0.189	F_st	0.189	0.001	0.943	0.201

508247_16	Within Individual   	--	1.500	130	0.012	0.012	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.228	116	0.011	-0.000	-0.042	F_is	-0.043	1.000	--	--
	Among Population   	--	0.238	13	0.018	0.000	0.036	F_st	0.036	0.102	0.978	0.037

508266_49	Within Individual   	--	1.000	166	0.006	0.006	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	149	0.005	-0.000	-0.054	F_is	-0.057	1.000	--	--
	Among Population   	--	0.188	16	0.012	0.000	0.054	F_st	0.054	0.061	0.989	0.055

508320_11	Within Individual   	--	1.500	164	0.009	0.009	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.250	147	0.009	-0.000	-0.035	F_is	-0.036	1.000	--	--
	Among Population   	--	0.223	16	0.014	0.000	0.031	F_st	0.031	0.131	0.982	0.031

508343_5	Within Individual   	--	0.500	138	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	123	0.004	0.000	0.005	F_is	0.005	1.000	--	--
	Among Population   	--	0.046	14	0.003	-0.000	-0.005	F_st	-0.005	1.000	0.993	-0.005

508371_19	Within Individual   	--	10.500	145	0.072	0.072	0.788	F_it	0.212	--	--	--
	Among Individual   	Population 	7.319	129	0.057	-0.008	-0.085	F_is	-0.121	0.883	--	--
	Among Population   	--	8.281	15	0.552	0.027	0.297	F_st	0.297	0.001	0.871	0.342

508376_71	Within Individual   	--	0.500	120	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	106	0.004	-0.000	-0.005	F_is	-0.005	1.000	--	--
	Among Population   	--	0.058	13	0.004	0.000	0.005	F_st	0.005	0.595	0.992	0.005

508399_9	Within Individual   	--	3.500	141	0.025	0.025	0.791	F_it	0.209	--	--	--
	Among Individual   	Population 	3.312	126	0.026	0.001	0.023	F_is	0.029	0.657	--	--
	Among Population   	--	1.900	14	0.136	0.006	0.186	F_st	0.186	0.001	0.949	0.196

508409_20	Within Individual   	--	5.500	142	0.039	0.039	1.026	F_it	-0.026	--	--	--
	Among Individual   	Population 	3.028	127	0.024	-0.007	-0.197	F_is	-0.238	1.000	--	--
	Among Population   	--	2.046	14	0.146	0.006	0.171	F_st	0.171	0.001	0.937	0.183

508445_9	Within Individual   	--	3.500	132	0.027	0.027	0.776	F_it	0.224	--	--	--
	Among Individual   	Population 	1.000	118	0.008	-0.009	-0.264	F_is	-0.516	0.990	--	--
	Among Population   	--	4.193	13	0.323	0.017	0.488	F_st	0.488	0.001	0.965	0.505

508465_18	Within Individual   	--	1.500	154	0.010	0.010	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	1.200	137	0.009	-0.000	-0.051	F_is	-0.053	1.000	--	--
	Among Population   	--	0.271	16	0.017	0.000	0.046	F_st	0.046	0.028	0.981	0.047

508489_31	Within Individual   	--	1.000	160	0.006	0.006	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	143	0.005	-0.000	-0.065	F_is	-0.069	1.000	--	--
	Among Population   	--	0.210	16	0.013	0.000	0.065	F_st	0.065	0.021	0.988	0.066

508491_27	Within Individual   	--	1.000	144	0.007	0.007	0.998	F_it	0.002	--	--	--
	Among Individual   	Population 	0.750	129	0.006	-0.001	-0.081	F_is	-0.089	1.000	--	--
	Among Population   	--	0.236	14	0.017	0.001	0.083	F_st	0.083	0.011	0.987	0.084

508528_13	Within Individual   	--	4.000	159	0.025	0.025	0.819	F_it	0.181	--	--	--
	Among Individual   	Population 	4.411	142	0.031	0.003	0.096	F_is	0.105	0.463	--	--
	Among Population   	--	1.274	16	0.080	0.003	0.085	F_st	0.085	0.003	0.944	0.090

508538_22	Within Individual   	--	0.500	122	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.429	108	0.004	-0.000	-0.016	F_is	-0.016	1.000	--	--
	Among Population   	--	0.067	13	0.005	0.000	0.017	F_st	0.017	0.065	0.992	0.017

508567_32	Within Individual   	--	2.000	133	0.015	0.015	0.505	F_it	0.495	--	--	--
	Among Individual   	Population 	3.500	118	0.030	0.007	0.246	F_is	0.327	0.256	--	--
	Among Population   	--	2.259	14	0.161	0.007	0.250	F_st	0.250	0.001	0.955	0.261

508602_40	Within Individual   	--	2.000	156	0.013	0.013	0.675	F_it	0.325	--	--	--
	Among Individual   	Population 	3.228	139	0.023	0.005	0.274	F_is	0.289	0.215	--	--
	Among Population   	--	0.657	16	0.041	0.001	0.051	F_st	0.051	0.044	0.964	0.053

508609_17	Within Individual   	--	0.500	163	0.003	0.003	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.050	146	0.014	0.005	0.596	F_is	0.641	0.172	--	--
	Among Population   	--	0.422	16	0.026	0.001	0.070	F_st	0.070	0.047	0.983	0.071

508610_29	Within Individual   	--	0.500	128	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	114	0.004	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.009	F_st	0.009	0.182	0.992	0.009

508616_27	Within Individual   	--	0.500	126	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	112	0.004	0.000	0.006	F_is	0.006	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.007	F_st	-0.007	1.000	0.992	-0.007

508642_13	Within Individual   	--	0.500	124	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	110	0.004	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.058	13	0.004	0.000	0.007	F_st	0.007	0.386	0.992	0.007

508658_50	Within Individual   	--	1.500	135	0.011	0.011	0.603	F_it	0.397	--	--	--
	Among Individual   	Population 	2.561	121	0.021	0.005	0.273	F_is	0.312	0.341	--	--
	Among Population   	--	0.846	13	0.065	0.002	0.124	F_st	0.124	0.002	0.968	0.128

508673_40	Within Individual   	--	0.000	129	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.778	115	0.015	0.008	0.997	F_is	1.000	0.058	--	--
	Among Population   	--	0.207	13	0.016	0.000	0.003	F_st	0.003	0.530	0.985	0.003

508681_35	Within Individual   	--	1.000	138	0.007	0.007	0.499	F_it	0.501	--	--	--
	Among Individual   	Population 	2.000	123	0.016	0.005	0.310	F_is	0.383	0.369	--	--
	Among Population   	--	0.942	14	0.067	0.003	0.191	F_st	0.191	0.001	0.976	0.196

508697_5	Within Individual   	--	18.000	140	0.129	0.129	1.131	F_it	-0.131	--	--	--
	Among Individual   	Population 	6.939	125	0.056	-0.037	-0.321	F_is	-0.397	1.000	--	--
	Among Population   	--	6.433	14	0.459	0.022	0.190	F_st	0.190	0.001	0.816	0.233

508707_42	Within Individual   	--	2.000	167	0.012	0.012	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	1.200	150	0.008	-0.002	-0.166	F_is	-0.199	1.000	--	--
	Among Population   	--	0.752	16	0.047	0.002	0.166	F_st	0.166	0.001	0.980	0.169

508733_54	Within Individual   	--	2.000	125	0.016	0.016	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.375	111	0.012	-0.002	-0.113	F_is	-0.127	1.000	--	--
	Among Population   	--	0.561	13	0.043	0.002	0.108	F_st	0.108	0.005	0.972	0.112

508734_21	Within Individual   	--	1.000	159	0.006	0.006	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	142	0.015	0.004	0.341	F_is	0.405	0.322	--	--
	Among Population   	--	0.839	16	0.052	0.002	0.160	F_st	0.160	0.003	0.979	0.163

508751_11	Within Individual   	--	0.500	131	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	117	0.004	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.004	F_st	-0.004	1.000	0.992	-0.004

508773_39	Within Individual   	--	20.000	150	0.133	0.133	1.017	F_it	-0.017	--	--	--
	Among Individual   	Population 	13.452	134	0.100	-0.016	-0.126	F_is	-0.141	0.962	--	--
	Among Population   	--	5.495	15	0.366	0.014	0.108	F_st	0.108	0.001	0.766	0.141

508792_45	Within Individual   	--	1.000	122	0.008	0.008	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	108	0.020	0.006	0.346	F_is	0.409	0.340	--	--
	Among Population   	--	0.823	13	0.063	0.003	0.153	F_st	0.153	0.005	0.972	0.158

508816_46	Within Individual   	--	1.500	151	0.010	0.010	0.599	F_it	0.401	--	--	--
	Among Individual   	Population 	1.938	134	0.014	0.002	0.136	F_is	0.186	0.574	--	--
	Among Population   	--	1.480	16	0.092	0.004	0.265	F_st	0.265	0.001	0.976	0.271

508850_17	Within Individual   	--	1.000	141	0.007	0.007	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	126	0.006	-0.000	-0.065	F_is	-0.069	1.000	--	--
	Among Population   	--	0.208	14	0.015	0.000	0.065	F_st	0.065	0.016	0.987	0.066

508886_29	Within Individual   	--	0.000	126	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.750	112	0.016	0.008	0.983	F_is	1.000	0.059	--	--
	Among Population   	--	0.234	13	0.018	0.000	0.017	F_st	0.017	0.238	0.984	0.017

508920_49	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	119	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.992	-0.003

508936_20	Within Individual   	--	1.500	126	0.012	0.012	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	1.000	112	0.009	-0.001	-0.125	F_is	-0.143	1.000	--	--
	Among Population   	--	0.464	13	0.036	0.001	0.125	F_st	0.125	0.005	0.979	0.128

508966_10	Within Individual   	--	4.000	138	0.029	0.029	0.590	F_it	0.410	--	--	--
	Among Individual   	Population 	5.389	123	0.044	0.007	0.151	F_is	0.204	0.291	--	--
	Among Population   	--	3.901	14	0.279	0.013	0.260	F_st	0.260	0.001	0.927	0.280

509035_22	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	135	0.003	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	16	0.004	0.000	0.008	F_st	0.008	0.327	0.993	0.008

509054_77	Within Individual   	--	0.500	162	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	145	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.994	-0.003

509085_5	Within Individual   	--	4.500	140	0.032	0.032	0.841	F_it	0.159	--	--	--
	Among Individual   	Population 	4.250	125	0.034	0.001	0.024	F_is	0.028	0.688	--	--
	Among Population   	--	1.818	14	0.130	0.005	0.134	F_st	0.134	0.001	0.934	0.144

509097_16	Within Individual   	--	1.000	162	0.006	0.006	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	145	0.006	-0.000	-0.053	F_is	-0.056	1.000	--	--
	Among Population   	--	0.188	16	0.012	0.000	0.053	F_st	0.053	0.046	0.988	0.053

509115_46	Within Individual   	--	0.500	128	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	114	0.017	0.007	0.557	F_is	0.626	0.173	--	--
	Among Population   	--	0.527	13	0.041	0.001	0.110	F_st	0.110	0.017	0.979	0.112

509123_20	Within Individual   	--	1.000	133	0.008	0.008	0.503	F_it	0.497	--	--	--
	Among Individual   	Population 	2.500	119	0.021	0.007	0.451	F_is	0.473	0.123	--	--
	Among Population   	--	0.440	13	0.034	0.001	0.045	F_st	0.045	0.113	0.971	0.047

509144_7	Within Individual   	--	3.000	145	0.021	0.021	1.016	F_it	-0.016	--	--	--
	Among Individual   	Population 	2.417	129	0.019	-0.001	-0.048	F_is	-0.050	1.000	--	--
	Among Population   	--	0.459	15	0.031	0.001	0.032	F_st	0.032	0.075	0.961	0.034

509186_26	Within Individual   	--	1.000	127	0.008	0.008	0.499	F_it	0.501	--	--	--
	Among Individual   	Population 	2.000	113	0.018	0.005	0.311	F_is	0.384	0.397	--	--
	Among Population   	--	0.937	13	0.072	0.003	0.190	F_st	0.190	0.003	0.974	0.195

509246_27	Within Individual   	--	2.000	129	0.016	0.016	0.668	F_it	0.332	--	--	--
	Among Individual   	Population 	2.200	115	0.019	0.002	0.078	F_is	0.105	0.648	--	--
	Among Population   	--	1.660	13	0.128	0.006	0.254	F_st	0.254	0.001	0.965	0.263

509350_7	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	136	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.993	-0.003

509399_5	Within Individual   	--	0.500	132	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	118	0.004	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.003	F_st	0.003	0.384	0.992	0.003

509406_21	Within Individual   	--	1.000	127	0.008	0.008	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	113	0.007	-0.000	-0.063	F_is	-0.067	1.000	--	--
	Among Population   	--	0.206	13	0.016	0.000	0.063	F_st	0.063	0.052	0.985	0.064

509513_30	Within Individual   	--	2.500	128	0.020	0.020	1.011	F_it	-0.011	--	--	--
	Among Individual   	Population 	1.850	114	0.016	-0.002	-0.085	F_is	-0.092	1.000	--	--
	Among Population   	--	0.552	13	0.042	0.001	0.074	F_st	0.074	0.015	0.964	0.077

509539_57	Within Individual   	--	0.500	125	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	111	0.004	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	-0.000	-0.001	F_st	-0.001	0.781	0.992	-0.001

509551_89	Within Individual   	--	0.500	142	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	126	0.003	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.007	F_st	0.007	0.382	0.993	0.007

509552_12	Within Individual   	--	2.500	138	0.018	0.018	1.007	F_it	-0.007	--	--	--
	Among Individual   	Population 	1.637	123	0.013	-0.002	-0.134	F_is	-0.153	1.000	--	--
	Among Population   	--	0.772	14	0.055	0.002	0.126	F_st	0.126	0.001	0.969	0.131

509555_22	Within Individual   	--	0.500	147	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	131	0.003	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.001	F_st	0.001	0.594	0.993	0.001

509613_64	Within Individual   	--	2.500	124	0.020	0.020	0.720	F_it	0.280	--	--	--
	Among Individual   	Population 	2.444	110	0.022	0.001	0.037	F_is	0.049	0.701	--	--
	Among Population   	--	1.858	13	0.143	0.007	0.243	F_st	0.243	0.001	0.958	0.254

509618_18	Within Individual   	--	1.500	125	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.215	111	0.011	-0.001	-0.044	F_is	-0.046	1.000	--	--
	Among Population   	--	0.249	13	0.019	0.000	0.038	F_st	0.038	0.079	0.977	0.039

509697_29	Within Individual   	--	6.500	141	0.046	0.046	0.798	F_it	0.202	--	--	--
	Among Individual   	Population 	5.178	126	0.041	-0.003	-0.043	F_is	-0.057	0.783	--	--
	Among Population   	--	4.297	14	0.307	0.014	0.245	F_st	0.245	0.001	0.913	0.268

509746_13	Within Individual   	--	1.500	136	0.011	0.011	0.606	F_it	0.394	--	--	--
	Among Individual   	Population 	2.800	121	0.023	0.006	0.333	F_is	0.354	0.211	--	--
	Among Population   	--	0.608	14	0.043	0.001	0.062	F_st	0.062	0.020	0.966	0.064

509806_32	Within Individual   	--	8.000	144	0.056	0.056	1.043	F_it	-0.043	--	--	--
	Among Individual   	Population 	3.899	129	0.030	-0.013	-0.238	F_is	-0.295	1.000	--	--
	Among Population   	--	3.212	14	0.229	0.010	0.195	F_st	0.195	0.001	0.914	0.213

509810_12	Within Individual   	--	0.500	153	0.003	0.003	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.050	137	0.015	0.006	0.597	F_is	0.642	0.159	--	--
	Among Population   	--	0.421	15	0.028	0.001	0.070	F_st	0.070	0.064	0.982	0.071

509828_6	Within Individual   	--	0.500	148	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	132	0.003	-0.000	-0.009	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.010	F_st	0.010	0.267	0.993	0.010

509844_12	Within Individual   	--	1.500	149	0.010	0.010	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.244	133	0.009	-0.000	-0.035	F_is	-0.037	1.000	--	--
	Among Population   	--	0.225	15	0.015	0.000	0.030	F_st	0.030	0.134	0.981	0.031

509866_31	Within Individual   	--	8.000	142	0.056	0.056	0.717	F_it	0.283	--	--	--
	Among Individual   	Population 	9.238	127	0.073	0.008	0.104	F_is	0.127	0.296	--	--
	Among Population   	--	4.734	14	0.338	0.014	0.179	F_st	0.179	0.001	0.871	0.205

509870_24	Within Individual   	--	1.000	144	0.007	0.007	0.504	F_it	0.496	--	--	--
	Among Individual   	Population 	2.550	128	0.020	0.006	0.471	F_is	0.483	0.121	--	--
	Among Population   	--	0.394	15	0.026	0.000	0.026	F_st	0.026	0.131	0.973	0.026

509872_31	Within Individual   	--	1.000	151	0.007	0.007	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	135	0.016	0.005	0.340	F_is	0.405	0.366	--	--
	Among Population   	--	0.836	15	0.056	0.002	0.160	F_st	0.160	0.002	0.978	0.164

509879_26	Within Individual   	--	0.500	138	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.429	123	0.003	-0.000	-0.019	F_is	-0.020	1.000	--	--
	Among Population   	--	0.068	14	0.005	0.000	0.020	F_st	0.020	0.039	0.993	0.021

509889_46	Within Individual   	--	1.000	131	0.008	0.008	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.875	116	0.008	-0.000	-0.006	F_is	-0.006	1.000	--	--
	Among Population   	--	0.110	14	0.008	0.000	0.002	F_st	0.002	0.251	0.985	0.002

509893_87	Within Individual   	--	0.500	158	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	141	0.003	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.994	-0.005

509913_13	Within Individual   	--	0.500	147	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	131	0.003	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.010	F_st	0.010	0.206	0.993	0.010

509943_63	Within Individual   	--	5.000	143	0.035	0.035	0.743	F_it	0.257	--	--	--
	Among Individual   	Population 	6.194	128	0.048	0.007	0.143	F_is	0.161	0.302	--	--
